PUNKT;SSID;BSS;RSSI;KANAL
0.01_N;HFU Guest;18:E8:29:EE:30:6E;-83;36
0.01_N;HFU Guest;18:E8:29:EE:30:6E;-82;36
0.01_N;DIRECT-RI-IMC4500_Ausstellung;12:98:C3:3B:DF:A6;-84;6
0.01_N;DIRECT-RI-IMC4500_Ausstellung;12:98:C3:3B:DF:A6;-83;6
0.01_N;Digibox-7490;00:09:4F:BA:71:BF;-95;1
0.01_N;Digibox-7490;00:09:4F:BA:71:BF;-92;1
0.01_N;;1E:E8:29:ED:2E:85;-90;6
0.01_N;;1E:E8:29:ED:2E:85;-90;6
0.01_N;HFU Open;C2:FB:E4:80:8A:1E;-88;1
0.01_N;HFU Open;C2:FB:E4:80:8A:1E;-88;1
0.01_N;;1E:E8:29:EE:30:A7;-77;40
0.01_N;;1E:E8:29:EE:30:A7;-76;40
0.01_N;Zimmer-26;B4:FB:E4:62:2B:BC;-92;1
0.01_N;Zimmer-26;B4:FB:E4:62:2B:BC;-87;1
0.01_N;HFU Open;26:E8:29:EE:2E:85;-91;36
0.01_N;HFU Open;26:E8:29:EE:2E:85;-91;36
0.01_N;HFU Guest;B4:FB:E4:4E:13:20;-88;44
0.01_N;eduroam;BE:FB:E4:4D:13:20;-88;11
0.01_N;eduroam;BE:FB:E4:4D:13:20;-86;11
0.01_N;eduroam;BE:FB:E4:80:8A:1D;-91;36
0.01_N;eduroam;BE:FB:E4:80:8A:1D;-91;36
0.01_N;UPC2696287;38:43:7D:C9:A9:A8;-95;6
0.01_N;UPC2696287;38:43:7D:C9:A9:A8;-95;6
0.01_N;eduroam;22:E8:29:ED:30:6E;-77;11
0.01_N;eduroam;22:E8:29:ED:30:6E;-76;11
0.01_N;HFU Open;26:E8:29:ED:2F:EA;-92;6
0.01_N;HFU Open;26:E8:29:ED:2F:EA;-92;6
0.01_N;eduroam;BE:FB:E4:80:8A:1E;-79;1
0.01_N;eduroam;BE:FB:E4:80:8A:1E;-88;1
0.01_N;HFU Open;26:E8:29:ED:30:A7;-77;1
0.01_N;HFU Open;26:E8:29:ED:30:A7;-76;1
0.01_N;;1E:E8:29:ED:30:6E;-77;11
0.01_N;;1E:E8:29:ED:30:6E;-76;11
0.01_N;HFU Open;26:E8:29:ED:34:1B;-90;6
0.01_N;HFU Open;26:E8:29:ED:34:1B;-90;6
0.01_N;HFU Guest;18:E8:29:ED:2E:85;-90;6
0.01_N;HFU Guest;18:E8:29:ED:2E:85;-90;6
0.01_N;;6A:D7:9A:18:94:0C;-88;6
0.01_N;;6A:D7:9A:18:94:0C;-88;6
0.01_N;Uhrenmuseum;B4:FB:E4:CF:A0:CD;-95;11
0.01_N;Uhrenmuseum;B4:FB:E4:CF:A0:CD;-95;11
0.01_N;HFU Open;26:E8:29:ED:32:54;-93;6
0.01_N;HFU Open;26:E8:29:ED:32:54;-93;6
0.01_N;;BA:FB:E4:4D:13:20;-89;11
0.01_N;;BA:FB:E4:4D:13:20;-89;11
0.01_N;HFU Open;26:E8:29:EE:30:6E;-83;36
0.01_N;HFU Open;26:E8:29:EE:30:6E;-83;36
0.01_N;;BA:FB:E4:80:8A:1D;-87;36
0.01_N;;BA:FB:E4:80:8A:1D;-87;36
0.01_N;HFU Guest;18:E8:29:EE:30:A7;-80;40
0.01_N;HFU Guest;18:E8:29:EE:30:A7;-76;40
0.01_N;HFU Open;82:83:C2:18:6F:F0;-90;1
0.01_N;HFU Open;82:83:C2:18:6F:F0;-91;1
0.01_N;eduroam;22:E8:29:ED:2F:EA;-91;6
0.01_N;eduroam;22:E8:29:ED:2F:EA;-91;6
0.01_N;;BA:FB:E4:80:8A:1E;-89;1
0.01_N;;BA:FB:E4:80:8A:1E;-88;1
0.01_N;HFU Open;C2:FB:E4:4E:13:20;-90;44
0.01_N;HFU Open;C2:FB:E4:4E:13:20;-88;44
0.01_N;HFU Guest;74:83:C2:18:6C:B0;-94;11
0.01_N;Uhrenmuseum;74:83:C2:21:99:31;-92;1
0.01_N;Uhrenmuseum;74:83:C2:21:99:31;-92;1
0.01_N;;1E:E8:29:EE:2E:85;-89;36
0.01_N;;1E:E8:29:EE:2E:85;-90;36
0.01_N;eduroam;22:E8:29:ED:30:A7;-77;1
0.01_N;eduroam;22:E8:29:ED:30:A7;-76;1
0.01_N;Zimmer-13;B4:FB:E4:62:2C:7A;-96;1
0.01_N;Zimmer-13;B4:FB:E4:62:2C:7A;-96;1
0.01_N;eduroam;22:E8:29:ED:34:1B;-88;6
0.01_N;eduroam;22:E8:29:ED:34:1B;-90;6
0.01_N;;1E:E8:29:ED:2F:EA;-92;6
0.01_N;;1E:E8:29:ED:2F:EA;-92;6
0.01_N;eduroam;7E:83:C2:18:6F:F0;-91;1
0.01_N;eduroam;7E:83:C2:18:6F:F0;-91;1
0.01_N;eduroam;6A:D7:9A:28:94:0C;-88;6
0.01_N;eduroam;6A:D7:9A:28:94:0C;-86;6
0.01_N;HFU Guest;18:E8:29:ED:04:5B;-92;1
0.01_N;HFU Guest;18:E8:29:ED:04:5B;-92;1
0.01_N;HFU Guest;68:D7:9A:68:94:0C;-88;6
0.01_N;HFU Guest;68:D7:9A:68:94:0C;-86;6
0.01_N;eduroam;BE:FB:E4:4E:13:20;-89;44
0.01_N;eduroam;BE:FB:E4:4E:13:20;-89;44
0.01_N;eduroam;22:E8:29:ED:32:54;-93;6
0.01_N;eduroam;22:E8:29:ED:32:54;-93;6
0.01_N;HFU Guest;18:E8:29:ED:30:6E;-77;11
0.01_N;HFU Guest;18:E8:29:ED:30:6E;-76;11
0.01_N;eduroam;22:E8:29:EE:30:6E;-82;36
0.01_N;eduroam;22:E8:29:EE:30:6E;-82;36
0.01_N;;1E:E8:29:ED:30:A7;-76;1
0.01_N;;1E:E8:29:ED:30:A7;-76;1
0.01_N;HFU Guest;B4:FB:E4:4D:13:20;-89;11
0.01_N;HFU Guest;B4:FB:E4:4D:13:20;-87;11
0.01_N;HFU Open;26:E8:29:ED:2E:85;-88;6
0.01_N;HFU Open;26:E8:29:ED:2E:85;-88;6
0.01_N;HFU Guest;B4:FB:E4:80:8A:1D;-88;36
0.01_N;HFU Guest;B4:FB:E4:80:8A:1D;-88;36
0.01_N;;1E:E8:29:ED:34:1B;-90;6
